cod_aero,aeropuerto,ciudad,pais,latitud,longitud
SAWU,Santa Cruz Airport,Santa Cruz,Argentina ,-50.0165,-68.5792
SAZB,Comandante Espora Airport,Bahia Blanca,Argentina ,-38.725,-62.1693
SAZC,Brigadier D.H.E. Ruiz Airport,Colonel Suarez,Argentina ,-37.446098,-61.889301
SAZF,Olavarria Airport,Olavarria,Argentina ,-36.88999939,-60.21659851
SAZG,General Pico Airport,General Pico,Argentina ,-35.69620132,-63.75830078
SAZH,Tres Arroyos Airport,Tres Arroyos,Argentina ,-38.3869,-60.3297
SAZI,Bolivar Airport,Bolivar,Argentina ,-36.1866,-61.0764
SAZM,Ástor Piazzola International Airport,Mar Del Plata,Argentina ,-37.9342,-57.5733
SAZN,Presidente Peron Airport,Neuquen,Argentina ,-38.949001,-68.155701
SAZP,Comodoro Pedro Zanni Airport,Pehuajo,Argentina ,-35.8446,-61.8576
SAZR,Santa Rosa Airport,Santa Rosa,Argentina ,-36.588299,-64.275703
SAZS,San Carlos De Bariloche Airport,San Carlos De Bariloche,Argentina ,-41.151199,-71.157501
SAZT,Héroes De Malvinas Airport,Tandil,Argentina ,-37.23740005,-59.22790146
SAZV,Villa Gesell Airport,Villa Gesell,Argentina ,-37.2354,-57.0292
SAZW,Cutral-Co Airport,Cutralco,Argentina ,-38.93970108,-69.26460266
SAZY,Aviador C. Campos Airport,San Martin Des Andes,Argentina ,-40.075401,-71.137299
VYHH,Heho Airport,Heho,Myanmar ,20.74699974,96.79199982
VYHL,Hommalinn Airport,Hommalin,Myanmar ,24.89959908,94.91400146
VYKG,Kengtung Airport,Kengtung,Myanmar ,21.3015995,99.63600159
VYKP,Kyaukpyu Airport,Kyaukpyu,Myanmar ,19.42639923,93.53479767
VYLS,Lashio Airport,Lashio,Myanmar ,22.97789955,97.75219727
VYLY,Lanywa Airport,Lanywa,Myanmar ,20.94039917,94.82260132
VYMD,Mandalay International Airport,Mandalay,Myanmar ,21.70219994,95.97789764
VYME,Myeik Airport,Myeik,Myanmar ,12.43980026,98.62149811
VYMK,Myitkyina Airport,Myitkyina,Myanmar ,25.38360023,97.35189819
VYMO,Momeik Airport,Momeik,Myanmar ,23.09250069,96.64530182
VYMS,Mong Hsat Airport,Mong Hsat,Myanmar ,20.51679993,99.25679779
VYNP,Nampong Air Base,Nampong,Myanmar ,25.35440063,97.29519653
VYNS,Namsang Airport,Namsang,Myanmar ,20.89049911,97.73590088
VYPA,Hpa-N Airport,Hpa-an,Myanmar ,16.89369965,97.67459869
VYPT,Putao Airport,Putao,Myanmar ,27.32990074,97.42630005
VYPY,Pyay Airport,Pyay,Myanmar ,18.82449913,95.26599884
VYST,Shante Air Base,Shante,Myanmar ,20.94169998,95.91449738
VYSW,Sittwe Airport,Sittwe,Myanmar ,20.13269997,92.87259674
VYTD,Thandwe Airport,Thandwe,Myanmar ,18.46069908,94.30010223
VYTL,Tachileik Airport,Tachilek,Myanmar ,20.48380089,99.93540192
VYTO,Taungoo Airport,Taungoo,Myanmar ,19.03129959,96.40119934
VYYY,Yangon International Airport,Yangon,Myanmar ,16.90730095,96.1332016
VYMW,Magway Airport,Magwe,Myanmar ,20.1656,94.941399
VYKI,Kanti Airport,Khamti,Myanmar ,25.98830032,95.67440033
ZBDH,Qinhuangdao Beidaihe Airport,Bagan,Myanmar ,39.666389,119.058889
VYBM,Banmaw Airport,Banmaw,Myanmar ,24.2689991,97.24620056
VYDW,Dawei Airport,Dawei,Myanmar ,14.10389996,98.20359802
VYKT,Kawthoung Airport,Kawthoung,Myanmar ,10.04930019,98.53800201
VYLK,Loikaw Airport,Loikaw,Myanmar ,19.69149971,97.21479797
