aerolinea;aerolinea_agrupada
ALBINATI AERONAUTICS S.A;ALBINATI AERONAUTICS S.A
DIESEL ACQUISITTIONS LLC;DIESEL ACQUISITTIONS LLC
GOL TRANSPORTES AEREOS (BRASIL);GOL TRANSPORTES AEREOS (BRASIL)
HELICOPTER SERVICES LTD;HELICOPTER SERVICES LTD
HELISTAR;HELISTAR
MACBENS PATRIMONIAL LTDA SA;MACBENS PATRIMONIAL LTDA SA
MARIO DE LOS SANTOS;MARIO DE LOS SANTOS
PACIFIC OCEAN S.A.;PACIFIC OCEAN S.A.
SCOLA IDOATE, RAMON;SCOLA IDOATE, RAMON
A-OK JETS;A-OK JETS
COMERCIALIZADORA CARACAS C.A;COMERCIALIZADORA CARACAS C.A
EURO CARGO;EURO CARGO
FLIGHT EXPRESS S.A.;FLIGHT EXPRESS S.A.
HELIAMERICA (BOLIVIA);HELIAMERICA (BOLIVIA)
LOS TRIGALES;LOS TRIGALES
ACM AIR CHARTER;ACM AIR CHARTER
ADRIANA GONZALEZ;ADRIANA GONZALEZ
AEROSERVICIOS TRONADOR SPA;AEROSERVICIOS TRONADOR SPA
AV EXPERTS LLC;AV EXPERTS LLC
BLUE VISTA LLC;BLUE VISTA LLC
CANTORE SERVICIOS AEREOS;CANTORE SERVICIOS AEREOS
ESCUELA DE PREFECTURA;ESCUELA DE PREFECTURA
FABIAN WYNTE;FABIAN WYNTE
GAMA AVIATION LLC;GAMA AVIATION LLC
HELIBRAS HELICOPTER (BRASIL);HELIBRAS HELICOPTER (BRASIL)
JOHN DEERE DO BRASIL;JOHN DEERE DO BRASIL
RJR AVIACZO;RJR AVIACZO
SKY TOY LLC;SKY TOY LLC
SUNSET AVIATION LLC SOLARIUS AVIATION;SUNSET AVIATION LLC SOLARIUS AVIATION
SUPERYACHT AVIATION SERVICES;SUPERYACHT AVIATION SERVICES
TRESTON AVIATION;TRESTON AVIATION
FENDA S.A.;FENDA S.A.
INV. PINTUEYE S.A;INV. PINTUEYE S.A
J Y B GLOBAL;J Y B GLOBAL
LEADER FLY S.A.;LEADER FLY S.A.
SHELL AIRCRAFT LTD.;SHELL AIRCRAFT LTD.
SKY FLIGHT S.R.L.;SKY FLIGHT S.R.L.
UNITED STATES OF AMERICA (EEUU);UNITED STATES OF AMERICA (EEUU)
ACASS CANADA LTD;ACASS CANADA LTD
AERO KAS S.A;AERO KAS S.A
AIR SERVICE LIEGE N.V.;AIR SERVICE LIEGE N.V.
AIR TANKER LEASING LLC;AIR TANKER LEASING LLC
BANK OF UTAH OWNER TRUSTEE;BANK OF UTAH OWNER TRUSTEE
CENTRO REGIONAL DE INSTRUCCION CAÑUELAS;CENTRO REGIONAL DE INSTRUCCION CAÑUELAS
ELID SA;ELID SA
HALLIBURTON COMPANY;HALLIBURTON COMPANY
IMETAME METALMECANICA LTDA;IMETAME METALMECANICA LTDA
SMART SERVICE S.A.;SMART SERVICE S.A.
ANDES AIR LTDA;ANDES AIR LTDA
COPPER TRADING S.A.;COPPER TRADING S.A.
DGO REPRESENTACOES LDTA;DGO REPRESENTACOES LDTA
GENESIS AVIACION-JORGE M. CANDIOTI;GENESIS AVIACION-JORGE M. CANDIOTI
GLOBAL AIRCRAFT TRUST INC TRUSTE;GLOBAL AIRCRAFT TRUST INC TRUSTE
GULFSTREAM AEROSPACE;GULFSTREAM AEROSPACE
KAIKEN LINEAS AEREAS S.A.;KAIKEN LINEAS AEREAS S.A.
LAVORO ADM. DE BENS E PARTICIPACOES LTDA;LAVORO ADM. DE BENS E PARTICIPACOES LTDA
LEIS HERMANN R.;LEIS HERMANN R.
NATIONAL CARGO;NATIONAL CARGO
NETJETS, TRANSPORTES AEREOS S.A.;NETJETS, TRANSPORTES AEREOS S.A.
SDB COMERCIO DE ALIMENTOS LTDA;SDB COMERCIO DE ALIMENTOS LTDA
SERVICIOS AEREOS DEL SUR S.A.S.;SERVICIOS AEREOS DEL SUR S.A.S.
SERVICIOS AEREOS FORESTALES LTDA;SERVICIOS AEREOS FORESTALES LTDA
UNIVIDA AIR TAXI AEREO;UNIVIDA AIR TAXI AEREO
5DCFG;5DCFG
AEROTRUST SERVICES CORP;AEROTRUST SERVICES CORP
ALBA JET S.A.;ALBA JET S.A.
AVIACION LUPETTI;AVIACION LUPETTI
BRAVO ZULU;BRAVO ZULU
DUCAIR;DUCAIR
ECOCOPTER S.A.;ECOCOPTER S.A.
MAEHARA S.A.A.C.I;MAEHARA S.A.A.C.I
MULTIPLAN EMP. INMOBILIARIAOS;MULTIPLAN EMP. INMOBILIARIAOS
OPP FILM;OPP FILM
PERLAN PROJECT INC;PERLAN PROJECT INC
SEARCA LTDA.;SEARCA LTDA.
SKYSERVICE BUSINESS AVIATION INC;SKYSERVICE BUSINESS AVIATION INC
SOCORRO MEDICO PRIVADO S.A.;SOCORRO MEDICO PRIVADO S.A.
THE COCA COLA  COMPANY;THE COCA COLA  COMPANY
TRANSPORTE SAN FELIPE LTDA (CHILE);TRANSPORTE SAN FELIPE LTDA (CHILE)
VOLAR S.R.L;VOLAR S.R.L
